Schedule,Threads,Size,Chunk size,Time
dynamic,2,1048576,4,0.0453691
dynamic,2,1048576,8,0.0399072
dynamic,2,1048576,16,0.0407455
dynamic,2,1048576,32,0.0336501
dynamic,2,1048576,64,0.0298746
dynamic,3,1048576,4,0.0423679
dynamic,3,1048576,8,0.0365923
dynamic,3,1048576,16,0.0308777
dynamic,3,1048576,32,0.0237723
dynamic,3,1048576,64,0.0200273
dynamic,4,1048576,4,0.045113
dynamic,4,1048576,8,0.0344468
dynamic,4,1048576,16,0.0249631
dynamic,4,1048576,32,0.0186896
dynamic,4,1048576,64,0.0159011
guided,1,1048576,4,0.0560902
guided,1,1048576,8,0.0562122
guided,1,1048576,16,0.0560649
guided,1,1048576,32,0.0561168
guided,1,1048576,64,0.0561247
guided,2,1048576,4,0.0287366
guided,2,1048576,8,0.029026
guided,2,1048576,16,0.0287383
guided,2,1048576,32,0.0282029
guided,2,1048576,64,0.0283477
guided,3,1048576,4,0.0189507
guided,3,1048576,8,0.0193474
guided,3,1048576,16,0.0194545
guided,3,1048576,32,0.0192484
guided,3,1048576,64,0.0193194
guided,4,1048576,4,0.015502
guided,4,1048576,8,0.0159957
guided,4,1048576,16,0.0162035
guided,4,1048576,32,0.0155382
guided,4,1048576,64,0.0157846
runtime,1,1048576,0,0.0561777
runtime,2,1048576,0,0.0283779
runtime,3,1048576,0,0.019397
runtime,4,1048576,0,0.015761
static,1,2097152,4,0.11999
static,1,2097152,8,0.116259
static,1,2097152,16,0.117378
static,1,2097152,32,0.114907
static,1,2097152,64,0.113649
static,2,2097152,4,0.0593441
static,2,2097152,8,0.0588554
static,2,2097152,16,0.0602143
static,2,2097152,32,0.0593056
static,2,2097152,64,0.058348
static,3,2097152,4,0.0427212
static,3,2097152,8,0.042908
static,3,2097152,16,0.0430639
static,3,2097152,32,0.0435428
static,3,2097152,64,0.0425263
static,4,2097152,4,0.034482
static,4,2097152,8,0.0346566
static,4,2097152,16,0.0339944
static,4,2097152,32,0.0343507
static,4,2097152,64,0.0330946
dynamic,1,2097152,4,0.123086
dynamic,1,2097152,8,0.119244
dynamic,1,2097152,16,0.116746
dynamic,1,2097152,32,0.114706
dynamic,1,2097152,64,0.113846
dynamic,2,2097152,4,0.0953261
dynamic,2,2097152,8,0.0858101
dynamic,2,2097152,16,0.0802032
dynamic,2,2097152,32,0.066534
dynamic,2,2097152,64,0.0609869
dynamic,3,2097152,4,0.0883527
dynamic,3,2097152,8,0.0683287
dynamic,3,2097152,16,0.061008
dynamic,3,2097152,32,0.0489471
dynamic,3,2097152,64,0.0419913
dynamic,4,2097152,4,0.0914736
dynamic,4,2097152,8,0.070205
dynamic,4,2097152,16,0.0513008
dynamic,4,2097152,32,0.0381822
dynamic,4,2097152,64,0.0333516
guided,1,2097152,4,0.112502
guided,1,2097152,8,0.112299
guided,1,2097152,16,0.113143
guided,1,2097152,32,0.113138
guided,1,2097152,64,0.112501
guided,2,2097152,4,0.0575276
guided,2,2097152,8,0.0576005
guided,2,2097152,16,0.0568081
guided,2,2097152,32,0.0574729
guided,2,2097152,64,0.0577922
guided,3,2097152,4,0.0384929
guided,3,2097152,8,0.0393957
guided,3,2097152,16,0.0391393
guided,3,2097152,32,0.0388986
guided,3,2097152,64,0.0386515
guided,4,2097152,4,0.032988
guided,4,2097152,8,0.0319711
guided,4,2097152,16,0.0321902
guided,4,2097152,32,0.0339229
guided,4,2097152,64,0.031865
runtime,1,2097152,0,0.112833
runtime,2,2097152,0,0.0575355
runtime,3,2097152,0,0.0406714
runtime,4,2097152,0,0.0330753
static,1,4194304,4,0.2274
static,1,4194304,8,0.226364
static,1,4194304,16,0.226175
static,1,4194304,32,0.22895
static,1,4194304,64,0.240615
static,2,4194304,4,0.123815
static,2,4194304,8,0.121405
static,2,4194304,16,0.120551
static,2,4194304,32,0.126278
static,2,4194304,64,0.12586
static,3,4194304,4,0.0831096
static,3,4194304,8,0.0839623
static,3,4194304,16,0.0796879
static,3,4194304,32,0.0797625
static,3,4194304,64,0.0779181
static,4,4194304,4,0.0678097
static,4,4194304,8,0.0631135
static,4,4194304,16,0.0675504
static,4,4194304,32,0.0680241
static,4,4194304,64,0.0664061
dynamic,1,4194304,4,0.250411
dynamic,1,4194304,8,0.239378
dynamic,1,4194304,16,0.233942
dynamic,1,4194304,32,0.229445
dynamic,1,4194304,64,0.228259
dynamic,2,4194304,4,0.193836
dynamic,2,4194304,8,0.165228
dynamic,2,4194304,16,0.162776
dynamic,2,4194304,32,0.137256
dynamic,2,4194304,64,0.121939
dynamic,3,4194304,4,0.188392
dynamic,3,4194304,8,0.154724
dynamic,3,4194304,16,0.122792
dynamic,3,4194304,32,0.0989731
dynamic,3,4194304,64,0.0864082
dynamic,4,4194304,4,0.195872
dynamic,4,4194304,8,0.135389
dynamic,4,4194304,16,0.100144
dynamic,4,4194304,32,0.0763688
dynamic,4,4194304,64,0.0630371
guided,1,4194304,4,0.224727
guided,1,4194304,8,0.224289
guided,1,4194304,16,0.224836
guided,1,4194304,32,0.224293
guided,1,4194304,64,0.224229
guided,2,4194304,4,0.113162
guided,2,4194304,8,0.113337
guided,2,4194304,16,0.113158
guided,2,4194304,32,0.113222
guided,2,4194304,64,0.113319
guided,3,4194304,4,0.0765075
guided,3,4194304,8,0.0772557
guided,3,4194304,16,0.0777846
guided,3,4194304,32,0.0775046
guided,3,4194304,64,0.0768749
guided,4,4194304,4,0.0598012
guided,4,4194304,8,0.0604749
guided,4,4194304,16,0.0623849
guided,4,4194304,32,0.061077
guided,4,4194304,64,0.0591799
runtime,1,4194304,0,0.224361
runtime,2,4194304,0,0.112799
runtime,3,4194304,0,0.0767883
runtime,4,4194304,0,0.0640682
static,1,8388608,4,0.44964
static,1,8388608,8,0.449689
static,1,8388608,16,0.449515
static,1,8388608,32,0.449287
static,1,8388608,64,0.449826
static,2,8388608,4,0.232047
static,2,8388608,8,0.229755
static,2,8388608,16,0.229001
static,2,8388608,32,0.227198
static,2,8388608,64,0.228795
static,3,8388608,4,0.158844
static,3,8388608,8,0.157414
static,3,8388608,16,0.155341
static,3,8388608,32,0.154924
static,3,8388608,64,0.166937
static,4,8388608,4,0.131462
static,4,8388608,8,0.129731
static,4,8388608,16,0.129581
static,4,8388608,32,0.130993
static,4,8388608,64,0.129706
dynamic,1,8388608,4,0.491103
dynamic,1,8388608,8,0.469458
dynamic,1,8388608,16,0.459784
dynamic,1,8388608,32,0.454427
dynamic,1,8388608,64,0.471294
dynamic,2,8388608,4,0.402746
dynamic,2,8388608,8,0.340839
dynamic,2,8388608,16,0.314721
dynamic,2,8388608,32,0.270596
dynamic,2,8388608,64,0.240884
dynamic,3,8388608,4,0.340538
dynamic,3,8388608,8,0.265765
dynamic,3,8388608,16,0.238994
dynamic,3,8388608,32,0.187098
dynamic,3,8388608,64,0.161497
dynamic,4,8388608,4,0.346059
dynamic,4,8388608,8,0.267513
